BO101-1,Biology
BO201-1,Molecular and Cellular Biology
BO202-1,Evolution and the Tree of Life
BO106-1,Introduction to Biological and Cellular Processes
BO120-1,Biology I
BO111-1,Biology
BO111-2,Biology
BO121-1,Biology II
BPS202-1,Fundamentals in Aquatic Plant Science
BPS203-1,"Plant Diversity, Physiology & Adaptation"
BPS204-1,Genetics and AgriBiosciences
BPS302-1,Plant Ecology
BPS303-1,"Soils, Climate and Palaeobotany"
BPS304-1,AgriBiosciences for Sustainable Global Development
BPS305-1,Plant and Agricultural Genetics
BPS306-1,Applied Aquatic Plant Science
BPS307-1,Plant Physiology and Systems Biology
BPS402-1,Current Topics in Algal Research
BPS403-1,"Plant Genetics, Cell & Systems Biology"
BPS404-1,Palaeobotany and Climate Change
BPS405-1,Ecology and Conservation Issues
BPS406-1,Current Topics in Plant Science
BPS5101-1,"Climate Change, Agricultural & Global Food Security"
AN208-1,Neuroanatomy
AY100.1-1,Accounting
AY102-1,Accounting
BPS5102-1,"Climate Change, Agriculture, Nutrition & Global Health"
BPS5103-1,Policy & Scenarios for Climate Change Adaptation & Mitigation
BPS5104-1,"Gender, Agriculture & Climate Justice"
BPS5105-1,Low-Emissions & Climate-Smart Agriculture & AgriFood Systems
BPS5106-1,"Climate Change Adaptation, Mitigation & Risk Management"
BPS5107-1,"Monitoring Climate Change: Past, Present, Future"
BPS5108-1,"Climate Change, Natural Resources & Livelihoods"
BPS5109-1,AgriBiological Responses to Climate Change
BR402.R-1,Bacteriology
BT208-1,Aquatic Plant Science
BT209-1,"Plants, Humans & Environment"
BT311-1,Plant and agri-biosciences for sustainable development
BT312-1,Applied Aquatic Plant Science
BT316-1,Plant Ecology & Palaeoecology
BT415-1,Advanced Topics in Algal Research
BT424-1,Ecology and Conservation Issues
BT430-1,"History of Plants, Atmosphere & Climate Change"
BT431-1,Plant Evolution & Cell Biology
BT432-1,Current Topics in Plant Science
BT433-1,Plant Genetics & Biotechnology for Food and Livelihood Security
BT217-1,Plants & the Environment
BT317-1,Aquatic Plant Science II: Ecology & Utilisation
BT318-1,Applications of Plant Science in Biotechnology & Ecology
BT422-1,Botany
BT216-1,Aquatic Plant Science I
BT416-1,Plant Biotechnology
BT417-1,Contemporary Topics in Plant Science
BT423-1,Long-term Climate Change and Human Impact
BT421-1,Marine Plant Science
BT402-1,Quaternary Palaeoecology
BT406-1,Applied Ecology
BT408-1,Botany Paper I
BT409-2,Botany Paper II
BT410-3,Botany Paper III
CC108-1,Myth & Religion in the Ancient City
CC109-1,Rome & the Genesis of Europe
CC211-1,Early Greece
CC232-1,Beginning Latin Part 2
CCS201-1,Studies in the Ancient Imagination
CCS204-1,Visualising Antiquity
CCS302-1,Classics & Continuity
CCS305-1,Expressions of Power in Antiquity
CCS307-1,Ireland & the Ancient World
CCS301-1,Representing Rome
CC321-1,Latin Texts from Medieval Ireland and Britain
CCS309-1,Reading Texts in Latin
CC314-1,New Horizons in Classics
CC315-1,Tragedy & Tradition: From Seneca to Shakespeare
CC317-1,Discourses of Power in the Roman World
CC319-1,Introduction to Reading Latin Verse
CC224-1,Greek Society
BR402-1,Bacteriology
CC229-1,Sexuality & Gender in Ancient Greece
CC303-1,Literature Of The Principate
CC110-1,"Investigating Ancient Greece: Archaeology, Art, Literature"
CC111-1,"Investigating Ancient Rome: Archaeology, Art, Literature"
CC228-1,The History of the Roman Empire
CC230-1,Beginning Latin Part 1
CC306-1,The Art And Architecture Of The Roman Empire
CC100-1,Classical Civilisation
CC100-2,Classical Civilisation
CC220-1,The Hellenistic World
CC225-1,Greek Philosophy
CC226-1,The Roman Conquest of Ireland
CC310-1,The Roman Novel
CC313-1,The Heroic Theme: from Ancient Greece to Gaelic Ireland
CE141-1,Introduction to Engineering and Design
CE102-1,Surveying
CE141-2,Introduction to Engineering and Design
CE107-1,Fundamentals Of Civil Engineering
CE109-1,Fundamentals Of Environmental Engineering
CE111-CB1,Engineering Graphics 1
CE112-CB1,Engineering Graphics 11
CE117-1,Introduction To Computing
CE118-1,Introduction To Surveying
CE119-1,Fundamentals of Project & Construction Management
CE221-1,Building Systems
CE222-1,Civil Engineering Materials and Design
CE223-1,Computer Aided Design and Surveying
CE224-1,Engineering Hydraulics I
CE226-1,Principles of Building
CE227-1,Strength of Materials
CE225-1,Engineering Materials
CE202-1,Principles Of Building
CE207-1,Engineering Materials
CE213-1,Strength Of Materials
CE216-1,Database Applications & Computer Programming
CE217-1,Elementary Hydraulics
CE215-1,Introduction To Strength Of Materials
CE3100-1,Design of Structures
CE3100-2,Design of Structures
CE3101-1,Geomechanics and Geology
CE3102-1,Structural Design I
CE3102-2,Structural Design I
CE334-1,Construction Operations
CE335-1,Engineering Hydraulics II
CE336-1,Environmental Engineering
CE340-1,Solids and Structures
CE340-2,Solids and Structures
CE341-1,Structural Engineering Design 1
CE341-2,Structural Engineering Design 1
CE342-1,Structures I
CE343-1,Sustainable Energy
CE344-1,Transportation Systems and Infrastructue I
CE333-1,Mechanics of Materials
CE337-1,Introduction to Geomechanics
CE346-2,Structural Engineering Design 1
CE307-1,Environmental Engineering
CE312-1,Elementary Soil Mechanics
CE313-1,Highway And Traffic Engineering I
CE318-1,Construction Operations I
CE319-1,Construction Operations II
CE320-1,Solids And Structures I
CE321-1,Solids And Structures II
CE322-1,Design Of Concrete Structures
CE323-1,Design Of Steel Structures
CE327-1,Civil Engineering Infrastructure Design I
CE327-2,Civil Engineering Infrastructure Design I
CE329-1,Sustainable Energy
CE330-1,Engineering Hydraulics I
CE331-1,Offshore Energy I
CE332-1,Structures I
CE319.II-1,Construction Operations II
CE462-1,Coastal and Offshore Engineering
CE463-1,Computational Methods in Energy Systems Engineering
CE464-1,Design of Sustainable Environmental Systems I
CE465-1,Design of Concrete Structures
CE466-1,Energy in Buildings
CE469-1,Hydrology and Water Resource Engineering
CE472-1,Structural Analysis
CE473-1,Strucural Design II
CE473-2,Strucural Design II
CE474-1,Structural Engineering Design II
CE474-2,Structural Engineering Design II
CE475-1,Sustainable Energy & Energy in Buildings
CE476-1,The Built Environment
CE477-1,Theoretical and Applied Geomechanics
CE432-1,Airborne Pollution
CE448-1,The Built Environment (Architecture & Planning)
CE405-1,Design Of Structures
CE405-2,Design Of Structures
CE414-1,Geotechnical Engineering
CE419-1,Project Management
CE421-1,Structural Analysis I
CE427-1,Design Of Concrete Structures
CE439-1,Coastal Engineering
CE441-1,Offshore Engineering
CE442-1,"Design of Water, Wastewater & Waste Treatment Systems"
CE445-1,Civil Engineering Infrastructure Design II
CE451-1,Engineering Hydrology I
CE452-1,Engineering Hydraulics II
CE346-1,Structural Engineering Design 1
CE454-1,Sustainable Energy and Energy in Buildings
CE455-1,Energy in Buildings
CE457-1,Computational Methods in Energy Systems Engineering
CE457-CB1,Computational Methods in Energy Systems Engineering
CE458-1,Offshore Energy II
CE459-1,Structures II
CE413-1,Computational Methods In Civil Engineering
CE418-CB1,Highway And Traffic Engineering II
CE429-1,Inelastic Structural Design
CE434-1,Bituminous Materials
CE440-1,Structural Analysis II
CE443-1,Sustainable Energy & Environmental Systems
CE428-1,Advanced Concrete Design
CE511-1,Computational Methods in Civil Engineering
CE514-1,Transportation Systems and Infrastructure II
CE515-1,Sustainable Energy & Energy in Buildings
CE513-1,Offshore Engineering
CE6101-1,Coastal and Offshore Engineering I
CE6102-1,Design of Sustainable Environmental System I
CE6103-1,Design of Sustainable Environmental Systems II
CH101-1,Chemistry
CH101-2,Chemistry
CH107-1,Ceimic
CH107-2,Ceimic
CH120-1,Chemistry: Molecular Science
CH120-2,Chemistry: Molecular Science
CH130-1,Chemistry: The World of the Molecule
CH130-2,Chemistry: The World of the Molecule
CH140-1,Engineering Chemistry
CH202-1,Organic Chemistry
CH203-1,Physical Chemistry
CH204-1,Inorganic Chemistry
CH205-1,Analytical & Environmental Chemistry
CH307-1,Inorganic Chemistry
CH311-1,Organic Chemistry
CH313-1,Physical Chemistry
CH326-1,Analytical Chemistry & Molecular Structure
CH332-1,Drug Design & Drug Discovery
CH335-1,Industrial Chemistry
CH339-1,Industrial Validation
CH429-1,Physical Chemistry I
CH432-1,Physical Chemistry II
CH438-1,Bioorganic Chemistry
CH439-1,"Mechanisms, Polymer Chemistry and Photochemistry"
CH441-1,Biopharmaceutical Chemistry
CE509-1,Advanced Structures
CH442-1,Industrial Biochemistry
CH445-1,Advanced Inorganic Chemistry
CH446-1,Bioinorganic and Inorganic Medicinal Chemistry
CH448-1,Spectroscopic & Physical Methods and Application
CH449-1,Selective Synthesis and Organometallic Chemistry
CH101-3,Chemistry
CH107-3,Ceimic
CH130-3,Chemistry: The World of the Molecule
CH319-1,Inorganic Chemistry
CH320-1,Physical Chemistry
CH324-1,Validation & Industrial Chemistry
CH327-1,Validation & Industrial Chemistry
CH329-1,Approaches to Drug Design and Discovery
CH430-1,Inorganic Chemistry I
CH431-1,Organic Chemistry I
CH433-1,Inorganic Chemistry II
CH434-1,Organic Chemistry II
CH110-1,Fundamentals of Chemistry
CH111-1,Engineering and Medical Chemistry
CH328-1,Molecular Modelling & Drug Design
CH106-1,Chemistry 1&11
CH112-1,Ceimic - Innealtóireacht
CH304-1,Analytical And Industrial Chemistry
CH308-1,Determination Of Molecular Structure
CH314-1,Cheminformatics & Validation
CH103-1,Chemistry
CH105-1,Chemistry 1
CH108-1,Chemistry
CH424-1,Physical Chemistry I / Inorganic Chemistry
CH425-1,Organic Chemistry I/Problem Solving in Chemistry
CH426-1,Physical Chemistry II/Bioinorganic Chemistry
CH427-1,Organic Chemistry II/Problem Solving in Chemistry II
CH109-1,Ceimic
CH407-1,Chemistry Paper 1
CH408-2,Chemistry Paper 2
CH409-3,Chemistry Paper 3
CH411-4,Chemistry Paper 4
CI200-1,Doing Business in China - Language & Culture 1
CI300-1,Doing Business in China - Language & Culture 1
CI301-1,Doing Business in China - Language & Culture 2
CM768-W,New York: Operations & Supply Chain Management
CM769-W,New York: Designing & Leading Innovative Ventures
CM771-W,New York: Information Systems for Supply Chain Management
CM826-W,Montana - Operations Management
CM770-W,New York: Data Warehousing
CM101-1,Financial Management
CP102-1,Chemistry/Physics
CP102-2,Chemistry/Physics
CS102-1,Computer Science
CS102-2,Computer Science
CS103-1,Computer Science
CS204-1,Computer Science
CS209-1,Algorithms And Scientific Computing
EE346-1,Electrical Power and Machines
CH306-1,Analytical & Environmental Chemistry
CS211-1,Programming and Operating Systems
CS304-1,Mathematical And Logical Aspects Of Computing
CS310-1,Mathematical And Logical Aspects Of Computing
CS319-1,Scientific Computing
CS402-1,Cryptography
CS423-1,Neural Network
CS424-1,Object Oriented Programming/Internet Programming
CS428-1,Advanced Operating Systems
CS212-1,"Modelling, Analysis & Simulation"
CS105-1,Introduction to Programming
CS427-1,Elements of Software Engineering
CS103.R-1,Computer Science
CS305-1,Computing Techniques Of Applied Mathematics
CS207-1,Languages & Operating Systems
CS305.II-1,Computing Techniques of Applied Mathematics
CS208-1,Oop Programming In C+Operating Systems
EC165-1,An Mhicreacnamaíocht
CS409-1,Advanced Topics in Computing Science
CT103-1,Programming
CT108-1,Next-Generation Technologies I
CT1101-1,Programming I
CT1102-1,Programming II
CT1103-1,Fundamental Network & System Administration
CT1104-1,HPC Technology & Administration
CT1105-1,HPC System Operations & Management
CT1110-1,Engineering Computing I
CT122-CB1,Applications Programming
CT123-1,Computer Systems
CT111-1,Programming & Logical Foundations I
CT112-1,Programming & Logical Foundations II
CT113-1,Computing Systems & Applications
CT140-1,Engineering Computing
CT140-2,Engineering Computing
CT109-1,Computer Systems & PC Applications
CT121-CB1,Computer Systems & Applications
CT2103-1,Systems Analysis & Design
CT2104-1,Web Application Development
CT2105-1,Web-based Information Systems
CT216-1,Software Engineering I
CT229-1,Programming II
CT230-1,Database Systems I
CT248-1,Introduction to Modelling
CT255-1,Next Generation Technologies II
CT232-1,Methodology
CT233-1,Information Systems
CT241-1,Information Systems I
CT244-1,Information Systems II
CT245-1,Technological Frameworks II
CT223-1,Operating Systems
CT249.I-1,Game Design & Programming
CT241.A-1,Information Systems I
CT246-1,Introduction to Programming
CT240-1,Programming-Algorithms
CT243-1,Programming- Data Structures
CT303-1,Networks & Communications
CT317-1,Systems Approach
CT318-1,Human Computer Interaction
CT319-1,Artificial Intelligence
CT326-1,Programming III
CT331-1,Programming Paradigms
CT332-1,Databases Systems II
CT335-1,Object Oriented Programming
CT336-1,Graphics And Image Processing
CT338-1,Software Engineering & Project Management
CT339-1,Object Oriented Programming
CT345-1,Introduction to Modelling
CT360-1,Next Generation Technologies III
CT306-1,Formal Methods
CT343-1,Scientific Computing
CT331.R-1,Programming Paradigms
CT344-1,Medical Informatics
CT323-1,Biomedical Systems
CT342-1,Semantic Web Services
CT341-1,Artificial Intelligence
CT404-1,Graphics & Image Process
CT411-1,Multi-Media Development
CT414-1,Distributed Systems & Co Operative Computing
CT420-1,Real Time Systems
CT423-1,Systems Theory
CT439-1,Programming III
CT474-1,SmartGrid
CT406-1,Advanced Programming
CT407-1,Applied Software Engineering
CT432-1,Distributed Systems & Co Operative Computing
CT470-1,Object Oriented Programming
CT425-1,Advanced Communications
CT433-1,Advanced Studies in IT
CT503-1,Software Engineering
CT511-1,Databases
CT534-1,User Centred Design
CT537-1,Software Engineering 1
CT538-1,"Architecture, Operating Systems & Networks for .NET"
CT542-1,"Architect, Operating Systems & Networks for Unix"
CT545-1,Enterprise Java Programming
CT546-1,.NET Programming
CT548-1,Object Oriented Software Design & Development
CT549-1,SmartGrid
CT437-1,Computer Security and Forensic Computing
CT514-1,IT Strategy
CT547-1,Data Storage and Retrieval
CT214-1,Logical Foundations Of Computing
CT536-1,Object Oriented Software Development 1
CT543-1,Object Oriented Software Development II
CT516-1,Computer Architecture And Operating Systems
CT517-1,Computer Communications
CT532-1,Internet Programming
CT560-1,Introduction to Biomedical Systems
CT520-1,GUI And Object Oriented Programming
CT522-1,Software Engineering Methods
CT518-1,Algorithms And Logical Methods
CT519-1,Applications Programming
CT521-1,Database Development
CT627-CB1,Service Oriented Architecture Concepts
CT602-1,Industrial Automation
CT853-1,Algorithmics & Logical Methods
CT861-1,Computing Architecture & Operating Systems
CT863-1,Interactive Media Technologies
CT865-1,Human Computer Interaction
CT866-1,Computer Communications
CT870-1,Internet Programming
CT871-1,Software Engineering Methods
CT874-1,Programming I
CT875-1,Programming II
CT854-1,Application Programming
CT857-1,Database Development
CT862-1,GUI & Object Oriented Programming
DJ869-1,Government and Politics
DJ879-1,Media Ethics
EC132-1,Applied Economics
EC135-1,Principles of Microeconomics
EC136-1,Principles of Macroeconomics
EC139-1,Principles of Microeconomics
EC141-1,Principles of Macroeconomics
EC142-1,Principles of Microeconomics
EC143-1,Principles of Macroeconomics
CT509-1,Programming
EC166-1,An Mhaicreacnamaíocht
EC133-1,Introductory Microeconomics
EC145-1,Prionsabail na Micreacnamaíochta
EC146-1,Prionsbail na Maicreacnamaíochta
EC191-1,Introduction to Environment & Society
EC105-1,Economics
EC118-1,Economics
EC109-1,Eacnamaíocht
EC100.1-1,Economics
EC125-1,Geilleagar
EC131-1,Public Policy
EC100-1,Economics
CT254-1,Information Systems in Health Care
CT211-1,Next-Generation Technologies II
EC134-1,Introductory Macroeconomics
EC118.R-1,Economics
EC207-1,Irish Economic History
EC209-1,Managerial Economics
EC213-1,Macroeconomics
EC219-1,Comparative Economic Thought
EC247-1,Introduction to Financial Economics
EC259-1,Economics of Public Policy
EC267-1,Economics of Public and Social Policy
EC268-1,Intermediate Macroeconomics
EC269-1,Intermediate Microeconomics
EC272-1,Economics of Family Policy
EC206-1,Macroeconomics
EC251-1,Cost Benefit Analysis
EC265-1,Sustainable/Ecological Economics
EC274-1,"Ireland, Europe, and the Global Economy"
EC215-1,Microeconomics
EC217-1,Macroeconomics
EC225-1,Economics Of The Welfare State
EC226-1,Cost Benefit Analysis
EC229-1,Quantitative Methods in Economics
EC273-1,Mathematics for Economics
EC275-1,Statistics for Economics
EC218-1,Mathematical Economics
EC222-1,Techniques Of Analysis
EC233-1,Research Methods In Economics
EC250-1,Cost Benefit Analysis
EC252.2-1,Managerial Economics
EC253.2-1,Macroeconomics
EC254-1,Economics of Social Policy and the Welfare State
EC255-1,Comparative Economics Theories
EC207.CM-1,Irish Economic History
EC225.CM-1,Economics Of The Welfare State
EC248-1,Microeconomics
EC248.CM-1,Microeconomics
EC249-1,Comparative Economic Thought
EC256-1,Macroeconomics
EC257-1,Mathematical Economics
EC258-1,Cost Benefit Analysis
EC261-1,Rural Gerontology
EC262-1,Public Policy for Dependent Older People
EC325-1,History Of Economic Thought
EC345-1,Health Economics
EC357-1,Development Economics
EC362-1,Economics Of Financial Markets
EC369-1,Money And Banking
EC382-1,International Economics
EC386-1,Public Economics
EC388-1,Environmental And Natural Resource Economics
EC341-1,Irish And European Economy
EC349-1,Economic Theory
CT417-1,Software Engineering III
CT475-1,Machine Learning & Data Mining
EC102-1,Introduction To Macroeconomics
EC353-1,European Economy (Irish Economy II)
EC301-1,Irish Economy I/Geilleagar na hEireann I
EC363-1,Econometrics
EC378-1,Economics Of Technological Change
EC381-1,Game Theory And Industrial Organization
EC385-1,Advanced Economic Theory
EC393-1,Methodology of Economics
EC383-1,Regional And Urban Economics
EC410-1,Economics Of Financial Markets Seminar I
EC411-1,Economics Of Financial Markets Seminar II
EC420-1,International Monetary Economics
EC423-1,Ireland in the Global Economy
EC424-1,Topics in Macroeconomic Theory
EC425-1,Topics in Microeconomic Theory
EC427-1,"Ireland, Europe & the Global Economy"
EC412-1,Technology & Society
EC422-1,Applied Econometrics
EC409-1,Irish Economy
EC418-1,European Economy
EC441.4-1,Quantitative Methods
EC442.4-1,Economic Theory
EC445-1,Comparative European Economy
EC501-1,Microeconomic Theory
EC506-1,Econometrics
EC5100-1,Agricultural Economics and Policy
EC5103-1,Natural Resource Governanace
EC5104-1,Applied Portfolio Management
EC5105-1,Applied Health Econometrics
EC5106-1,Market Access in the Healthcare Industry
EC5109-1,Macroeconomic Theory and Policy
EC515-1,Data Management & Survey Techniques
EC517-1,Cost Benefit Analysis & Evaluation
EC520-1,Health & Social Care
EC526-1,Public Sector Economics
EC561-1,Economic Modelling
EC563-1,International Finance
EC564-1,Financial Econometrics 1
EC565-1,Seminar in Financial Economics 1
EC566-1,Quantitative Methods in Finance
EC568-1,Seminar in Financial Economics 2
EC429-1,Marine Economics
EC572-1,Health Systems & Policy Analysis
EC576-1,International Monetary Economics
EC577-1,Irish Economic Policy
EC579-1,App. Health Tech. Assessment & Decision Modelling
EC584-1,Economic Evaluation in Health Care
EC500-1,Economics (Examination & Thesis)
EC500-2,Economics (Examination & Thesis)
EC500-3,Economics (Examination & Thesis)
EC500-4,Economics (Examination & Thesis)
EC502-1,Macroeconomic Theory
EC5101-1,Marine Economics and Policy
EC5102-1,Renewable Energy Economics and Policy
EC516-1,Policy & Planning Analysis
EC567-1,Financial Econometrics 2
EC518-1,Environmental Economics
EC562-1,Urban and Rural Resource Governance
EC573-1,Health Technology Assessment
EC519-1,Local & Rural Development
EC524-1,Transition Economics
EC537-1,Economics of Innovation
EC548-1,Irish Economic Policy
EC525-1,International Macroeconomics
EC569-1,Decision Modelling
EC510-1,Economics
EC871-1,Economics 1
ED807-1,Written Paper
ED710-1,Written Examination & Continuous Assessment
ED804-1,Written Examination Papers & Continuous Assessment
ED328-1,Theories of Technology-Enhanced Learning
ED123-4,Educational Psychology 2 & Special Educational Needs
ED129-1,"Social, Personal & Health Education (STM)"
ED175-3,Business Studies
ED176-3,Economics
ED177-3,Catechetics
ED178-3,English
ED179-3,Gaeilge
ED180-3,Geography
ED181-3,History
ED182-3,"Civic, Social & Political Education"
ED183-3,Mathematics
ED184-3,Modern Languages
ED185-3,Music
ED186-3,Physical Sciences
ED187-3,Biological Sciences
ED191-1,"Curriculum & Assessment, History & Philosophy"
ED192-2,Educational Psychology I
ED193-2,Education & Society I
ED196-4,Education & Society 2
ED197-3,Skills of Teaching 2
ED501-1,Education
ED502-1,Paper II
ED895-1,Siceolaíocht agus Scileanna Teagaisc
ED897-2,"Socheolaíocht, Stair agus Fealsúnacht an Oideachas"
EE130-1,Fundamentals of Electrical & Electronic Engineering I
EE131-1,Fundamentals of Electrical & Electronic Engineering II
EE106-1,Analogue Electronics
EE109-1,Fundamentals Of Electronic Engineering
EE219-1,Analogue Systems Design I
EE220-1,Digital Systems I
EE224-1,Microprocessor Systems Engineering
EE230-1,Electrical Circuits & Systems
EE231-1,Electronic Instrumentation and Sensors
EE232-1,Fundamentals of Electromagnetic Theory
EE206.I-1,Microprocessor Systems Engineering I
EE206.II-1,Microprocessor Systems Engineering II
EE211-1,Analogue Systems Design I
EE212-1,Biomedical Electronics & Instrumentation
EE214-1,Fundamentals of Electromagnetic Theory
EE221-1,Electrical Circuits & Systems I
EE222-1,Electrical Circuits & Systems II
EE202-1,Electrical Circuits And Systems
EE202-2,Electrical Circuits And Systems
EE3100-1,Analogue Systems Design I
EE3101-1,Electromechanical Power Conversion
EE342-1,Analogue Systems Design II
EE343-1,Communication Signals and Systems
EE344-1,Communication Systems Engineering
EE345-1,Digital Systems II
EE347-1,Embedded Systems Applications Programming
EE348-1,Engineering Electromagnetics
EE350-1,Fundamentals of Electromagnetic Theory
EE352-1,Linear Control Systems
EE353-1,Microprocessor Systems Engineering
HI520-1,History of Science
EE354-1,"Power, Machines & Control"
EE357-1,Signals and Communications
EE349-1,Exercise Prescription and Programming
EE351-1,Kinesiology of Human Movement
EE356-1,Sports & Exercise Psychology
EE302.I-1,Electrical Power And Machines I
EE302.II-1,Electrical Power And Machines
EE308-1,Signals And Communications
EE308-2,Signals And Communications
EE314-1,Communications Systems Engineering
EE315-1,Semiconductor Technology
EE316-1,Digital Systems II
EE318-1,Linear Control Systems I
EE321-1,Analogue Systems Design II
EE323-1,Infrastructure for Embedded Systems Programming
AR239-1,Landscapes of Cult & Kingship:The ancient royal sites of Ireland
EE207-1,Digital Systems I
EE324-1,Embedded Systems Application Programming
EE328-1,Engineering Electromagnetics
EE329-1,Linear Control Systems II
EE334-1,Kinesiology of Human Movement
EE335-1,Sports & Exercise Psychology
EE336-1,Exercise Prescription & Programming
EE302-1,Electrical Power And Machines
EE302-2,Electrical Power And Machines
EE310-1,Linear Control Systems
EE328.II-1,Engineering Electromagnetics
EE333-1,Applied Sports & Exercise Physiology
EE442-1,Advanced Power Electronics
EE444-1,Communications and Signal Processing Applications
EE445-1,Digital Signal Processing
EE446-1,Embedded Systems Applications Processing
EE447-1,Engineering Electromagnetics
EE448-1,Power Electronics
EE450-1,Power Systems
EE451-1,System on Chip Design I
EE452-1,System on Chip Design II
EE453-1,Telecommunications Software Applications
EE441-1,Advanced RF Engineering Electromagentics
EE449-1,"Power, Machines & Control"
EE409-1,Digital Signal Processing
EE409-2,Digital Signal Processing
EE409.I-1,Digital Signal Processing I
EE411-1,Power Electronics
EE411-2,Power Electronics
EE423-1,Telecommunications Software Applications
EE423-2,Telecommunications Software Applications
EE427-1,Digital Systems Design & VHDL
EE427-2,Digital Systems Design & VHDL
EE432-1,Advanced RF Engineering Electromagnetics
EE435-1,Embedded Systems Application Programming
EE436-1,Signals & Communication
EE436-2,Signals & Communication
EE437-1,Linear Control Systems II
EE438-1,Power Systems
EE461-1,Communication Systems Engineering
EE439-1,Linear Control Systems I
EE407-1,E.M. Theory And Applications
EE431-1,Electromagnetics & Instrumentation
EE6101-1,Advanced Power Electronics
EE6102-1,Power Systems
EH305-1,Hydrology And Hydrogeology
EH406-1,Engineering Hydrology I
